medium	description	compound	name
MF2	MF2	btn	btn
MF2	MF2	b12	Cyanocobalamin
MF2	MF2	ca2	ca2
MF2	MF2	cl	cl
MF2	MF2	cobalt2	cobalt2
MF2	MF2	cu2	cu2
MF2	MF2	fe2	fe2
MF2	MF2	fe3	fe3
MF2	MF2	h	h
MF2	MF2	h2o	h2o
MF2	MF2	hco3	hco3
MF2	MF2	k	k
MF2	MF2	mg2	mg2
MF2	MF2	mn2	mn2
MF2	MF2	mobd	mobd
MF2	MF2	na1	na1
MF2	MF2	ni2	ni2
MF2	MF2	no3	no3
MF2	MF2	pi	pi
MF2	MF2	so4	so4
MF2	MF2	thm	thm
MF2	MF2	zn2	zn2
MF2	MF2	photon	photon
MF2	MF2	co2	carbon dioxyde
MF2	MF2	o2	O2
MF2	MF2	n2	N2
