id,file,domain,phylum,class,order,family,genus,species
bin.5,bin.5.xml,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
bin.6,bin.6.xml,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
